product_id,purchase_count
24852,472565
13176,379450
21137,264683
21903,241921
47209,213584
47766,176815
47626,152657
16797,142951
26209,140627
27845,137905
27966,137057
22935,113426
24964,109778
45007,104823
39275,100060
49683,97315
28204,89632
5876,87746
8277,85020
40706,84255
4920,82689
30391,80392
45066,79769
42265,76896
49235,76360
44632,75886
19057,75165
4605,73167
37646,72846
21616,72829
17794,72736
27104,71584
30489,71314
31717,69524
27086,69217
44359,68091
28985,67449
46979,67283
8518,66986
41950,64289
26604,61746
5077,60816
34126,60621
22035,59676
39877,58779
35951,57895
43352,57640
10749,57485
19660,56087
9076,55946
21938,55484
43961,55371
24184,55280
34969,54409
46667,52087
48679,51939
25890,50281
31506,50255
12341,50221
39928,50141
24838,49569
5450,49021
22825,48915
5785,47839
35221,46546
28842,45530
33731,45238
27521,43067
44142,43009
33198,42934
8174,42721
20114,42561
8424,42044
27344,41473
11520,40376
29487,40212
18465,40045
28199,39825
15290,39188
46906,38971
9839,38720
27156,38001
3957,37973
43122,37706
23909,37091
34358,36617
4799,36365
9387,36187
16759,35820
196,35791
42736,35667
38689,35663
4210,35633
41787,35413
41220,34874
47144,34583
7781,34209
33000,33908
20995,32887
21709,32788
19678,32534
40604,32351
30233,32105
34243,31792
37687,31768
24489,31445
42828,31192
5479,30937
432,30935
6184,30843
16185,30170
42768,30055
17948,29905
33754,29893
19348,29345
8193,29313
26369,29296
42585,29124
14992,29069
14947,28884
22963,28384
1463,27992
28849,27924
8021,27864
25659,27255
21405,27226
46676,26878
31343,26777
41844,26741
38293,26721
42701,26691
43789,26668
36011,26591
5025,26536
39475,26443
43295,26307
11777,26220
20842,26154
32689,25974
32655,25523
2295,25459
46802,24950
13870,24950
25146,24918
18531,24664
5212,24534
31553,24130
39408,24086
260,23900
36695,23892
10246,23826
24830,23642
38383,23641
43768,23388
1940,23244
11182,23129
18523,23034
18362,23006
21288,22864
6046,22590
44683,22275
29987,21999
890,21997
38777,21745
43772,21552
23734,21540
7948,21509
30450,21490
38456,21451
46969,21431
44910,21416
47734,21352
38159,21301
26620,21233
47672,20775
4957,20758
26165,20735
30776,20707
44987,20684
35939,20262
14678,20228
16349,20217
28289,20211
29447,20198
44422,20140
40310,20069
16953,20033
23375,19998
33787,19908
19048,19847
2078,19846
13984,19745
41290,19692
23165,19671
32864,19639
17600,19611
39812,19544
8859,19518
48364,19501
33120,19400
31683,19345
26940,19286
28465,19257
35108,19163
26283,18906
37158,18602
37067,18583
18370,18449
45,18413
41665,18367
35547,18358
3952,18341
10957,18269
2086,18231
2966,18183
43154,18161
24799,18142
40571,18044
10132,18040
43713,18040
40396,17960
18027,17789
45535,17716
1158,17699
25931,17672
7021,17629
38739,17565
13629,17423
42450,17420
20119,17411
15937,17401
42342,17332
32478,17320
48745,17257
45633,17140
21019,17038
34050,16987
34448,16850
48205,16829
39619,16824
17461,16816
45603,16791
30169,16636
31040,16626
38400,16535
13646,16439
36865,16377
40174,16356
21267,16318
17872,16246
5818,16155
26790,16129
39984,15954
14084,15935
23288,15871
21376,15831
32734,15813
33768,15774
37766,15740
46654,15703
12206,15638
329,15459
28934,15458
6187,15415
6348,15377
39993,15367
18441,15304
5646,15302
25340,15301
43086,15298
6104,15267
42356,15253
48775,15055
651,15035
10673,14973
47977,14928
19508,14905
39180,14869
40709,14800
19677,14712
10017,14707
27336,14687
13535,14678
13829,14664
42244,14621
11782,14618
27695,14577
36070,14572
28156,14549
6873,14476
49520,14439
49383,14433
8571,14399
24561,14313
13249,14289
49075,14276
16083,14255
24024,14231
40545,14227
40199,14148
30720,14120
17795,14016
25588,13996
35921,13881
17122,13880
11422,13861
8670,13852
31915,13833
35561,13776
42445,13732
14233,13727
7963,13715
17706,13692
3599,13691
21295,13637
44449,13597
36550,13587
19019,13571
30827,13571
20082,13528
35042,13525
25466,13494
33401,13450
1511,13397
42625,13378
5194,13372
8048,13355
23537,13354
2825,13340
16965,13273
38928,13238
21195,13216
19706,13101
18288,13086
13380,13040
7751,13039
15872,13039
4562,13034
9339,12992
22395,12906
38164,12905
46720,12849
40723,12834
15902,12822
35140,12816
4472,12749
3376,12738
13166,12737
29662,12709
2855,12705
28993,12698
7175,12648
13575,12575
13740,12568
12916,12536
40516,12495
45200,12492
7503,12474
5782,12441
19691,12437
5134,12430
40332,12424
12456,12391
21174,12361
5258,12321
10644,12318
39561,12315
4421,12230
33129,12196
44765,12191
20955,12184
46584,12179
22124,12153
44570,12141
3464,12137
13198,12123
43662,12123
10070,12121
